supplier_id,supplier_name,product_type,inventory_count,delivery_status,delivery_days,warehouse_location,shipment_cost,order_quantity,timestamp
S1,Mahindra Logistics,EV Battery,79,Delivered,6,New York,2916,25,2026-04-22 22:07:21.197928
S2,Continental Supply,EV Battery,186,In Transit,11,California,8932,45,2026-05-08 22:07:21.197928
S3,Tesla Parts Ltd,Sensor Module,195,In Transit,2,Chicago,7662,32,2026-04-27 22:07:21.197928
S4,Mahindra Logistics,Brake System,497,Delivered,15,Toronto,2326,65,2026-05-08 22:07:21.197928
S5,Continental Supply,EV Battery,271,Delayed,14,New York,2521,65,2026-04-19 22:07:21.197928
S6,Tata Components,Brake System,160,Delivered,5,Dallas,8040,24,2026-05-11 22:07:21.197928
S7,Bosch Mobility,Sensor Module,75,In Transit,2,Chicago,3294,61,2026-05-15 22:07:21.197928
S8,Tata Components,Sensor Module,432,In Transit,13,California,9881,77,2026-05-06 22:07:21.197928
S9,Continental Supply,Sensor Module,221,In Transit,4,Toronto,7753,76,2026-04-21 22:07:21.197928
S10,Continental Supply,Sensor Module,409,Delivered,15,Chicago,7333,29,2026-05-07 22:07:21.197928
S11,Mahindra Logistics,EV Battery,158,In Transit,10,Chicago,3888,32,2026-05-16 22:07:21.197928
S12,Continental Supply,EV Battery,227,Delivered,1,Chicago,6865,38,2026-05-03 22:07:21.197928
S13,Tata Components,EV Battery,203,Delayed,12,Toronto,4846,20,2026-04-18 22:07:21.197928
S14,Tata Components,Motor Controller,64,Delayed,4,California,1881,63,2026-05-13 22:07:21.197928
S15,Continental Supply,EV Battery,209,Delivered,14,California,7790,74,2026-04-27 22:07:21.197928
S16,Tesla Parts Ltd,Tyre,451,In Transit,9,Chicago,2493,58,2026-04-26 22:07:21.197928
S17,Tesla Parts Ltd,Brake System,362,In Transit,7,California,4448,52,2026-04-30 22:07:21.197928
S18,Bosch Mobility,Motor Controller,119,In Transit,5,California,6800,10,2026-05-04 22:07:21.197928
S19,Tesla Parts Ltd,EV Battery,262,Delivered,7,California,4078,67,2026-05-14 22:07:21.197928
S20,Continental Supply,Brake System,465,Delayed,15,Dallas,2352,37,2026-05-17 22:07:21.197928
S21,Tata Components,Brake System,415,Delivered,12,Dallas,3070,83,2026-05-11 22:07:21.197928
S22,Tesla Parts Ltd,EV Battery,75,In Transit,10,Chicago,7586,60,2026-05-03 22:07:21.197928
S23,Tata Components,Motor Controller,102,Delivered,14,Dallas,7184,10,2026-04-30 22:07:21.197928
S24,Tesla Parts Ltd,EV Battery,54,Delayed,6,New York,9653,64,2026-04-29 22:07:21.197928
S25,Continental Supply,Brake System,221,Delivered,5,Dallas,6056,100,2026-05-06 22:07:21.197928
S26,Bosch Mobility,Brake System,481,In Transit,7,New York,8969,10,2026-05-10 22:07:21.197928
S27,Tesla Parts Ltd,EV Battery,189,Delayed,4,Toronto,9107,84,2026-04-20 22:07:21.197928
S28,Mahindra Logistics,Motor Controller,180,Delayed,1,Toronto,9395,69,2026-04-19 22:07:21.197928
S29,Tata Components,Tyre,369,Delayed,14,Chicago,9170,11,2026-05-05 22:07:21.197928
S30,Tesla Parts Ltd,Tyre,459,Delayed,14,New York,4484,55,2026-05-05 22:07:21.197928
S31,Tata Components,Sensor Module,240,Delayed,9,Toronto,6119,27,2026-04-29 22:07:21.197928
S32,Mahindra Logistics,Motor Controller,381,In Transit,4,Toronto,2722,39,2026-04-19 22:07:21.197928
S33,Tata Components,EV Battery,446,In Transit,4,California,3027,76,2026-05-05 22:07:21.197928
S34,Bosch Mobility,Tyre,106,Delivered,5,Chicago,7081,55,2026-04-29 22:07:21.197928
S35,Tata Components,Tyre,493,Delivered,6,California,8466,100,2026-05-05 22:07:21.197928
S36,Tata Components,Tyre,236,Delayed,14,Toronto,9418,51,2026-05-01 22:07:21.197928
S37,Tata Components,EV Battery,205,Delivered,2,California,2490,94,2026-04-25 22:07:21.197928
